meeting_id,host_id,department_id,meeting_date,start_time,scheduled_duration_min,actual_duration_min,meeting_type,total_invited,total_joined,recording_enabled,chat_messages_count,reactions_count,screen_shares_count
ZM-52894344,HOST-0089,DEPT-012,2024-07-09,2024-07-09 10:30:00,45,55,Internal,19,11,False,17,22,2
ZM-58438711,HOST-0142,DEPT-010,2024-07-18,2024-07-18 17:00:00,30,27,Internal,5,3,False,13,2,0
ZM-87161840,HOST-0019,DEPT-003,2023-03-17,2023-03-17 10:15:00,180,148,Training,18,16,True,0,16,3
ZM-32099899,HOST-0042,DEPT-006,2023-12-21,2023-12-21 10:30:00,120,123,Training,22,17,True,5,15,3
ZM-77454225,HOST-0044,DEPT-010,2023-06-07,2023-06-07 17:30:00,90,78,Training,46,34,False,85,26,5
ZM-45521514,HOST-0054,DEPT-010,2024-10-16,2024-10-16 16:30:00,15,18,Internal,23,20,True,16,16,0
ZM-19794273,HOST-0016,DEPT-003,2024-05-10,2024-05-10 14:30:00,60,64,Internal,26,24,False,42,12,0
ZM-24251766,HOST-0082,DEPT-004,2024-04-05,2024-04-05 09:00:00,30,35,Internal,4,3,False,6,1,1
ZM-31434525,HOST-0084,DEPT-010,2023-07-14,2023-07-14 14:30:00,30,25,External,9,7,True,22,6,0
ZM-57364777,HOST-0013,DEPT-001,2024-09-03,2024-09-03 11:00:00,60,59,Internal,30,24,False,31,12,3
ZM-16072331,HOST-0103,DEPT-001,2023-07-19,2023-07-19 15:45:00,45,43,External,10,8,False,6,17,2
ZM-62868861,HOST-0096,DEPT-006,2024-01-10,2024-01-10 10:45:00,30,28,External,10,8,False,10,3,0
ZM-29990477,HOST-0132,DEPT-003,2024-09-19,2024-09-19 12:30:00,45,56,Internal,19,19,False,29,0,1
ZM-59440148,HOST-0085,DEPT-011,2024-08-20,2024-08-20 09:45:00,45,39,Internal,11,11,False,9,8,0
ZM-88319168,HOST-0123,DEPT-003,2024-09-26,2024-09-26 07:00:00,60,68,Internal,9,8,False,15,5,3
ZM-92071195,HOST-0121,DEPT-012,2024-12-23,2024-12-23 16:15:00,30,36,External,10,7,True,16,1,2
ZM-81555103,HOST-0088,DEPT-009,2024-11-28,2024-11-28 12:30:00,45,42,Internal,20,14,False,7,24,4
ZM-75632882,HOST-0082,DEPT-008,2023-05-05,2023-05-05 15:45:00,90,87,Internal,15,13,True,0,9,1
ZM-20607151,HOST-0089,DEPT-008,2023-08-08,2023-08-08 16:30:00,30,32,External,4,3,False,7,4,2
ZM-40289135,HOST-0060,DEPT-001,2023-12-05,2023-12-05 10:15:00,60,63,Internal,3,3,False,2,3,4
ZM-73847325,HOST-0123,DEPT-011,2023-10-20,2023-10-20 16:15:00,15,16,Internal,20,14,False,14,0,5
ZM-33593960,HOST-0010,DEPT-007,2023-07-10,2023-07-10 13:00:00,120,129,Webinar,54,27,True,55,25,1
ZM-96075494,HOST-0140,DEPT-009,2023-05-18,2023-05-18 08:30:00,90,81,Internal,8,6,True,6,0,2
ZM-49597485,HOST-0146,DEPT-011,2023-06-29,2023-06-29 13:45:00,120,117,Webinar,313,154,True,225,241,4
ZM-43292316,HOST-0002,DEPT-005,2024-04-02,2024-04-02 17:00:00,45,50,Internal,11,8,True,4,0,3
ZM-64414096,HOST-0129,DEPT-012,2023-05-01,2023-05-01 12:30:00,120,123,Webinar,364,220,False,587,0,1
ZM-60147077,HOST-0107,DEPT-012,2024-07-04,2024-07-04 17:00:00,30,31,Internal,19,11,True,0,9,4
ZM-83504237,HOST-0130,DEPT-004,2024-03-28,2024-03-28 12:45:00,30,33,External,3,3,False,2,3,2
ZM-85686878,HOST-0015,DEPT-009,2023-01-23,2023-01-23 11:00:00,60,60,Internal,4,3,False,1,3,2
ZM-73360324,HOST-0009,DEPT-005,2023-05-19,2023-05-19 12:45:00,60,59,Internal,17,16,False,0,1,3
ZM-82383656,HOST-0035,DEPT-011,2023-05-02,2023-05-02 11:15:00,90,103,Training,10,8,True,10,0,0
ZM-60905625,HOST-0059,DEPT-004,2023-06-08,2023-06-08 11:00:00,45,47,Internal,4,3,True,2,2,0
ZM-37659807,HOST-0018,DEPT-002,2024-04-02,2024-04-02 10:00:00,60,51,External,8,5,True,2,4,2
ZM-48824283,HOST-0060,DEPT-012,2024-08-14,2024-08-14 14:15:00,60,44,External,6,6,True,0,1,2
ZM-84721440,HOST-0045,DEPT-011,2024-07-23,2024-07-23 14:30:00,45,51,External,8,7,True,4,6,3
ZM-40245233,HOST-0077,DEPT-012,2024-04-19,2024-04-19 16:45:00,15,18,Internal,16,11,False,11,7,3
ZM-70369365,HOST-0095,DEPT-002,2023-02-22,2023-02-22 07:00:00,45,38,Internal,9,8,True,12,0,1
ZM-54689713,HOST-0078,DEPT-001,2023-07-14,2023-07-14 16:15:00,15,14,Internal,25,17,False,13,19,1
ZM-61091554,HOST-0120,DEPT-009,2023-09-25,2023-09-25 08:45:00,45,37,External,7,6,True,11,2,0
ZM-29585415,HOST-0005,DEPT-005,2024-08-21,2024-08-21 13:30:00,60,66,External,4,3,False,6,1,2
ZM-55307111,HOST-0066,DEPT-008,2024-05-17,2024-05-17 10:15:00,180,204,Training,44,43,True,0,25,0
ZM-14539747,HOST-0020,DEPT-011,2024-02-27,2024-02-27 12:00:00,30,28,Internal,25,20,False,30,8,2
ZM-92747827,HOST-0124,DEPT-011,2024-06-28,2024-06-28 11:30:00,90,88,Internal,3,2,True,0,1,0
ZM-22927031,HOST-0135,DEPT-003,2024-09-26,2024-09-26 11:30:00,90,104,Internal,11,8,True,7,9,2
ZM-40314047,HOST-0077,DEPT-011,2023-03-24,2023-03-24 08:00:00,120,146,Webinar,257,139,True,3,117,1
ZM-77089857,HOST-0112,DEPT-011,2024-08-02,2024-08-02 16:00:00,60,60,Webinar,167,102,True,242,88,0
ZM-19978827,HOST-0072,DEPT-009,2023-02-03,2023-02-03 11:15:00,30,34,External,8,6,False,11,3,0
ZM-82553061,HOST-0085,DEPT-007,2023-05-24,2023-05-24 10:30:00,120,111,Webinar,77,48,True,60,53,2
ZM-89941241,HOST-0102,DEPT-006,2024-05-17,2024-05-17 14:15:00,30,23,Internal,24,23,True,8,7,2
ZM-19865900,HOST-0022,DEPT-005,2024-10-11,2024-10-11 14:30:00,30,26,Internal,14,11,True,13,5,3
ZM-27784789,HOST-0023,DEPT-003,2024-07-24,2024-07-24 08:30:00,90,84,Internal,20,15,True,30,14,1
ZM-62049575,HOST-0022,DEPT-012,2023-09-06,2023-09-06 14:15:00,90,102,Training,18,15,True,26,11,3
ZM-50232066,HOST-0124,DEPT-002,2024-10-02,2024-10-02 08:15:00,60,55,Internal,12,8,False,16,5,3
ZM-69085720,HOST-0086,DEPT-007,2024-10-28,2024-10-28 09:30:00,120,105,Webinar,214,86,True,7,11,2
ZM-52833932,HOST-0075,DEPT-012,2024-05-17,2024-05-17 11:45:00,60,62,External,7,5,False,10,5,0
ZM-83833059,HOST-0007,DEPT-012,2024-12-26,2024-12-26 15:30:00,30,27,Internal,29,19,False,0,13,0
ZM-95004924,HOST-0078,DEPT-004,2023-06-07,2023-06-07 18:45:00,60,61,Internal,21,15,False,5,14,4
ZM-58255231,HOST-0138,DEPT-010,2023-03-29,2023-03-29 10:30:00,30,27,External,4,3,False,3,4,2
ZM-54506155,HOST-0111,DEPT-002,2023-09-22,2023-09-22 16:15:00,30,25,Internal,17,13,True,6,13,1
ZM-13296743,HOST-0124,DEPT-002,2023-03-29,2023-03-29 09:30:00,15,12,Internal,12,8,True,19,1,2
ZM-70726434,HOST-0082,DEPT-002,2023-04-28,2023-04-28 09:15:00,15,17,Internal,19,12,True,16,10,0
ZM-64364546,HOST-0048,DEPT-003,2024-03-18,2024-03-18 08:15:00,45,39,External,9,6,False,5,3,1
ZM-18397164,HOST-0148,DEPT-002,2024-07-03,2024-07-03 10:30:00,60,56,Webinar,393,239,True,314,0,0
ZM-88786439,HOST-0030,DEPT-006,2024-09-24,2024-09-24 13:00:00,30,25,Internal,24,19,False,26,9,3
ZM-78561753,HOST-0100,DEPT-007,2023-07-10,2023-07-10 09:15:00,45,38,External,9,6,False,7,6,3
ZM-11286267,HOST-0125,DEPT-003,2024-01-29,2024-01-29 17:45:00,90,74,Internal,16,11,True,4,10,0
ZM-14142053,HOST-0057,DEPT-005,2024-07-04,2024-07-04 14:00:00,45,49,Internal,21,18,False,38,20,2
ZM-15584869,HOST-0113,DEPT-009,2024-03-11,2024-03-11 11:30:00,15,13,Internal,30,26,False,26,0,4
ZM-25755285,HOST-0061,DEPT-004,2024-12-06,2024-12-06 13:15:00,90,102,Webinar,365,155,True,169,102,1
ZM-47726592,HOST-0138,DEPT-003,2023-10-27,2023-10-27 16:30:00,45,47,Internal,30,15,False,14,10,1
ZM-65243509,HOST-0016,DEPT-005,2023-05-10,2023-05-10 12:45:00,90,90,Training,41,40,True,66,42,1
ZM-22494970,HOST-0104,DEPT-009,2024-12-12,2024-12-12 15:45:00,45,40,External,7,4,False,2,3,2
ZM-95206855,HOST-0092,DEPT-002,2024-02-12,2024-02-12 15:30:00,60,76,Webinar,215,109,True,124,3,0
ZM-56135950,HOST-0013,DEPT-001,2024-04-15,2024-04-15 08:15:00,15,14,Internal,17,7,False,13,0,4
ZM-97241147,HOST-0078,DEPT-003,2023-04-06,2023-04-06 11:00:00,120,120,Training,35,32,True,2,0,2
ZM-22775337,HOST-0001,DEPT-004,2023-05-16,2023-05-16 11:45:00,90,76,Internal,3,3,False,4,4,4
ZM-74115841,HOST-0019,DEPT-004,2023-11-17,2023-11-17 10:15:00,45,48,Internal,5,4,False,5,3,1
ZM-94299475,HOST-0039,DEPT-007,2024-03-29,2024-03-29 09:00:00,30,26,External,4,3,True,1,0,5
ZM-28767690,HOST-0064,DEPT-005,2023-09-12,2023-09-12 11:00:00,60,48,External,12,8,False,12,3,1
ZM-96727439,HOST-0014,DEPT-004,2023-04-26,2023-04-26 15:00:00,30,28,Internal,19,15,False,15,4,3
ZM-86286724,HOST-0108,DEPT-006,2023-06-26,2023-06-26 07:00:00,60,75,Internal,3,2,False,3,2,5
ZM-94365330,HOST-0129,DEPT-007,2024-02-16,2024-02-16 16:15:00,15,16,Internal,11,9,True,12,16,0
ZM-53855682,HOST-0101,DEPT-010,2024-11-28,2024-11-28 10:00:00,60,73,External,5,4,True,8,4,0
ZM-98322292,HOST-0045,DEPT-002,2024-12-19,2024-12-19 10:45:00,15,16,Internal,14,8,True,8,5,1
ZM-46072958,HOST-0031,DEPT-001,2024-03-15,2024-03-15 17:00:00,45,40,Internal,18,13,False,5,9,0
ZM-44241100,HOST-0027,DEPT-010,2023-08-22,2023-08-22 16:00:00,60,60,External,2,2,False,2,2,3
ZM-34019729,HOST-0010,DEPT-009,2024-03-05,2024-03-05 14:30:00,60,56,Webinar,472,312,True,412,177,0
ZM-79226031,HOST-0012,DEPT-007,2023-10-17,2023-10-17 12:00:00,45,45,Internal,20,13,False,17,5,4
ZM-42559072,HOST-0119,DEPT-006,2024-05-20,2024-05-20 12:15:00,30,29,External,2,1,False,2,1,0
ZM-11287794,HOST-0086,DEPT-001,2023-04-17,2023-04-17 15:15:00,60,57,Webinar,264,134,True,104,160,1
ZM-41067722,HOST-0134,DEPT-007,2024-01-17,2024-01-17 09:15:00,45,48,External,12,10,False,13,4,0
ZM-41778964,HOST-0075,DEPT-005,2024-02-07,2024-02-07 12:45:00,120,112,Training,27,23,True,67,25,4
ZM-24181143,HOST-0043,DEPT-008,2024-02-21,2024-02-21 10:45:00,15,9,Internal,12,8,True,0,7,4
ZM-90973889,HOST-0011,DEPT-004,2023-06-01,2023-06-01 11:30:00,60,69,Webinar,252,93,True,67,32,6
ZM-64276605,HOST-0116,DEPT-009,2023-09-13,2023-09-13 10:00:00,30,22,External,2,2,False,5,2,2
ZM-94597104,HOST-0022,DEPT-010,2023-01-23,2023-01-23 11:45:00,30,33,External,4,4,False,8,3,1
ZM-16796477,HOST-0044,DEPT-010,2024-02-09,2024-02-09 10:30:00,60,73,Internal,9,7,False,12,3,1
ZM-92809273,HOST-0063,DEPT-011,2024-02-26,2024-02-26 15:00:00,90,93,Internal,5,4,False,7,4,5
ZM-94658420,HOST-0140,DEPT-001,2024-12-31,2024-12-31 12:30:00,120,89,Training,34,30,False,29,19,1
ZM-47706144,HOST-0015,DEPT-008,2024-08-21,2024-08-21 10:00:00,30,29,Internal,10,7,True,5,8,0
ZM-39448924,HOST-0148,DEPT-007,2023-06-27,2023-06-27 14:00:00,30,30,Internal,25,21,True,9,0,0
ZM-76065552,HOST-0139,DEPT-005,2023-02-08,2023-02-08 09:15:00,15,14,Internal,22,17,True,34,29,2
ZM-27514010,HOST-0088,DEPT-012,2023-11-28,2023-11-28 11:00:00,15,18,Internal,30,23,False,6,11,4
ZM-88653825,HOST-0026,DEPT-006,2024-10-16,2024-10-16 12:15:00,60,66,Internal,25,23,True,18,31,1
ZM-89047551,HOST-0045,DEPT-007,2024-12-06,2024-12-06 17:45:00,45,53,Internal,30,27,False,83,13,4
ZM-92058189,HOST-0057,DEPT-011,2024-05-23,2024-05-23 12:00:00,30,31,External,5,4,False,7,0,0
ZM-99929175,HOST-0086,DEPT-008,2023-08-03,2023-08-03 08:00:00,30,29,Internal,4,3,False,1,4,5
ZM-60829941,HOST-0090,DEPT-009,2024-08-14,2024-08-14 11:45:00,30,28,Internal,5,4,True,4,4,2
ZM-55876720,HOST-0044,DEPT-007,2023-04-06,2023-04-06 15:00:00,45,37,Internal,16,11,True,17,5,3
ZM-37588517,HOST-0049,DEPT-007,2023-09-29,2023-09-29 13:30:00,60,57,External,5,4,True,7,0,2
ZM-10512117,HOST-0110,DEPT-002,2024-11-08,2024-11-08 10:15:00,90,84,Internal,23,17,False,17,13,2
ZM-75645462,HOST-0068,DEPT-002,2024-02-01,2024-02-01 14:45:00,30,27,External,7,6,False,9,2,2
ZM-85731895,HOST-0016,DEPT-003,2024-11-14,2024-11-14 17:45:00,60,67,Webinar,437,265,True,0,4,3
ZM-81875527,HOST-0122,DEPT-010,2024-05-02,2024-05-02 09:45:00,120,92,Training,12,8,True,9,7,0
ZM-26143959,HOST-0115,DEPT-003,2023-06-21,2023-06-21 15:00:00,90,93,Training,37,30,True,43,42,3
ZM-18994192,HOST-0023,DEPT-007,2024-07-19,2024-07-19 11:45:00,45,52,External,2,2,False,0,0,2
ZM-29891032,HOST-0146,DEPT-010,2023-04-13,2023-04-13 11:30:00,30,28,External,8,6,True,7,8,0
ZM-64086249,HOST-0037,DEPT-010,2024-12-11,2024-12-11 07:45:00,45,42,External,7,6,False,6,2,2
ZM-55347617,HOST-0078,DEPT-005,2024-12-13,2024-12-13 13:45:00,15,17,Internal,27,20,True,27,4,0
ZM-38372352,HOST-0105,DEPT-012,2024-06-12,2024-06-12 07:15:00,45,50,Internal,5,3,False,7,4,4
ZM-13885356,HOST-0045,DEPT-004,2023-07-25,2023-07-25 13:15:00,60,60,Training,27,25,True,10,24,0
ZM-42472381,HOST-0096,DEPT-008,2024-04-30,2024-04-30 15:30:00,60,72,External,7,6,True,16,4,0
ZM-61883966,HOST-0013,DEPT-003,2023-08-08,2023-08-08 11:45:00,90,78,Training,42,32,False,75,20,2
ZM-96888739,HOST-0045,DEPT-010,2023-08-18,2023-08-18 17:30:00,90,88,Webinar,414,297,True,122,0,2
ZM-43822694,HOST-0056,DEPT-008,2024-06-17,2024-06-17 16:30:00,90,85,Internal,20,16,True,7,0,2
ZM-47108953,HOST-0084,DEPT-005,2024-10-29,2024-10-29 10:15:00,45,48,Internal,19,15,False,0,13,0
ZM-98654879,HOST-0082,DEPT-011,2023-01-27,2023-01-27 13:45:00,60,67,Internal,15,11,True,11,0,5
ZM-39845082,HOST-0137,DEPT-011,2024-11-18,2024-11-18 16:30:00,90,89,Webinar,482,306,True,510,0,1
ZM-44715663,HOST-0144,DEPT-003,2024-11-01,2024-11-01 12:45:00,60,61,Training,31,28,True,7,28,1
ZM-95147289,HOST-0150,DEPT-010,2023-03-14,2023-03-14 11:00:00,180,183,Training,34,26,False,22,19,1
ZM-55992373,HOST-0105,DEPT-010,2023-11-20,2023-11-20 09:30:00,90,93,Training,50,38,True,67,27,2
ZM-31264801,HOST-0126,DEPT-002,2024-03-20,2024-03-20 15:45:00,60,75,Internal,18,13,True,16,10,3
ZM-53246714,HOST-0136,DEPT-004,2023-01-05,2023-01-05 13:15:00,30,31,Internal,6,6,True,2,7,3
ZM-49034245,HOST-0117,DEPT-012,2024-06-20,2024-06-20 14:15:00,45,56,Internal,13,12,False,13,7,1
ZM-64142310,HOST-0005,DEPT-004,2023-05-15,2023-05-15 09:00:00,30,29,Internal,14,8,False,7,0,0
ZM-93635734,HOST-0013,DEPT-010,2024-11-08,2024-11-08 07:00:00,60,69,Training,17,13,True,19,1,1
ZM-94598956,HOST-0003,DEPT-005,2023-04-14,2023-04-14 10:45:00,90,88,Internal,29,26,False,46,5,1
ZM-76805406,HOST-0051,DEPT-010,2023-09-27,2023-09-27 11:30:00,90,83,Internal,25,17,False,22,0,1
ZM-74513622,HOST-0085,DEPT-004,2024-11-18,2024-11-18 16:15:00,15,19,Internal,5,3,False,4,1,2
ZM-71304112,HOST-0076,DEPT-005,2023-04-13,2023-04-13 07:30:00,30,20,Internal,14,11,False,5,6,1
ZM-16159129,HOST-0003,DEPT-003,2024-01-02,2024-01-02 09:30:00,45,50,External,7,5,False,8,6,3
ZM-74188958,HOST-0108,DEPT-011,2023-06-20,2023-06-20 09:00:00,60,58,Training,20,20,True,42,0,2
ZM-92050405,HOST-0098,DEPT-006,2024-05-09,2024-05-09 09:00:00,45,50,External,6,5,False,6,3,3
ZM-85834657,HOST-0058,DEPT-011,2024-06-19,2024-06-19 13:15:00,60,52,Training,40,31,True,61,0,4
ZM-92263926,HOST-0014,DEPT-001,2024-04-25,2024-04-25 15:30:00,45,47,External,5,4,False,4,4,0
ZM-41541166,HOST-0021,DEPT-008,2024-08-09,2024-08-09 09:45:00,60,60,Internal,17,10,False,32,6,2
ZM-14809280,HOST-0143,DEPT-009,2023-04-04,2023-04-04 16:15:00,90,109,Internal,23,16,True,2,0,1
ZM-70996586,HOST-0085,DEPT-009,2024-09-06,2024-09-06 14:45:00,90,93,Webinar,108,75,True,114,69,1
ZM-49189370,HOST-0141,DEPT-009,2023-04-19,2023-04-19 13:00:00,15,17,Internal,11,7,False,6,3,3
ZM-35579048,HOST-0087,DEPT-002,2023-02-17,2023-02-17 16:00:00,120,112,Webinar,445,291,False,27,0,0
ZM-10582186,HOST-0136,DEPT-012,2024-03-19,2024-03-19 11:15:00,90,74,Internal,26,20,True,24,7,1
ZM-61628545,HOST-0108,DEPT-010,2023-09-12,2023-09-12 13:30:00,120,99,Training,28,23,False,26,0,3
ZM-50119441,HOST-0141,DEPT-006,2024-10-09,2024-10-09 11:30:00,30,32,External,12,11,False,22,13,3
ZM-95480242,HOST-0083,DEPT-012,2023-12-27,2023-12-27 15:45:00,90,89,Internal,24,18,False,0,6,5
ZM-80159631,HOST-0028,DEPT-001,2023-02-24,2023-02-24 09:30:00,15,16,Internal,24,23,False,23,35,1
ZM-14336089,HOST-0092,DEPT-008,2024-11-22,2024-11-22 11:45:00,90,79,Internal,10,5,True,6,2,0
ZM-61215153,HOST-0100,DEPT-007,2024-12-02,2024-12-02 11:15:00,120,126,Training,49,41,True,83,0,1
ZM-96923747,HOST-0095,DEPT-010,2024-09-09,2024-09-09 10:30:00,30,31,Internal,17,14,False,31,10,3
ZM-60626689,HOST-0011,DEPT-007,2023-09-28,2023-09-28 08:30:00,30,35,Internal,17,16,True,15,5,3
ZM-93935292,HOST-0078,DEPT-008,2024-07-17,2024-07-17 10:30:00,90,100,Webinar,319,180,True,220,166,2
ZM-82079745,HOST-0104,DEPT-002,2023-08-07,2023-08-07 17:45:00,45,42,Internal,20,17,False,35,0,4
ZM-96203262,HOST-0063,DEPT-001,2024-01-26,2024-01-26 14:30:00,30,30,External,10,8,False,8,0,2
ZM-78281335,HOST-0115,DEPT-008,2024-10-29,2024-10-29 10:15:00,30,29,Internal,27,21,False,20,11,4
ZM-66936428,HOST-0027,DEPT-004,2024-12-20,2024-12-20 09:15:00,60,65,Internal,3,2,False,3,2,2
ZM-84904794,HOST-0019,DEPT-010,2023-09-22,2023-09-22 14:30:00,90,75,Webinar,58,38,True,24,25,4
ZM-88598977,HOST-0012,DEPT-012,2024-01-02,2024-01-02 08:30:00,120,121,Webinar,452,220,True,0,32,5
ZM-98680762,HOST-0008,DEPT-008,2023-08-14,2023-08-14 16:30:00,30,30,Internal,23,12,False,22,14,4
ZM-60080729,HOST-0003,DEPT-009,2023-05-25,2023-05-25 08:00:00,60,52,Training,46,35,False,14,32,1
ZM-56150987,HOST-0055,DEPT-007,2023-05-26,2023-05-26 11:15:00,90,98,Training,17,16,False,27,22,4
ZM-83665549,HOST-0119,DEPT-011,2023-10-25,2023-10-25 13:00:00,15,11,Internal,9,7,False,2,4,3
ZM-23427820,HOST-0073,DEPT-010,2023-07-18,2023-07-18 13:15:00,45,39,Internal,21,16,True,0,3,3
ZM-39732676,HOST-0112,DEPT-005,2023-05-18,2023-05-18 13:45:00,120,117,Webinar,286,102,True,130,19,1
ZM-21002322,HOST-0072,DEPT-003,2023-07-21,2023-07-21 09:00:00,120,117,Training,42,31,True,0,0,0
ZM-14919926,HOST-0142,DEPT-005,2024-10-31,2024-10-31 13:45:00,30,26,Internal,10,9,False,4,7,1
ZM-22153955,HOST-0102,DEPT-006,2024-09-20,2024-09-20 10:15:00,30,30,Internal,21,14,False,31,5,4
ZM-58156722,HOST-0011,DEPT-004,2023-03-06,2023-03-06 13:15:00,90,86,Webinar,71,34,False,4,22,0
ZM-16232730,HOST-0011,DEPT-011,2024-06-17,2024-06-17 16:15:00,45,48,Internal,15,10,False,7,2,0
ZM-60509993,HOST-0058,DEPT-009,2023-12-20,2023-12-20 14:00:00,60,46,Internal,19,16,True,8,10,4
ZM-30164926,HOST-0048,DEPT-003,2023-05-02,2023-05-02 09:45:00,30,27,Internal,24,19,True,10,12,3
ZM-15790734,HOST-0033,DEPT-010,2023-05-18,2023-05-18 16:00:00,60,74,External,11,9,False,14,10,1
ZM-85645742,HOST-0005,DEPT-012,2023-10-18,2023-10-18 14:45:00,30,31,External,4,4,False,6,5,3
ZM-93646063,HOST-0131,DEPT-005,2024-12-03,2024-12-03 15:00:00,45,52,Internal,10,7,False,10,9,2
